Class,"0.0","1.0","2.0","3.0","4.0","5.0","6.0","7.0","8.0","9.0","10.0","11.0","12.0","13.0","14.0","15.0","16.0","17.0","18.0","19.0","20.0","21.0","22.0","23.0","24.0","25.0","26.0","27.0","28.0","29.0","30.0","31.0","32.0","33.0","34.0","35.0","36.0","37.0","38.0","39.0","40.0","41.0","42.0","43.0","44.0","45.0","46.0","47.0","48.0","49.0","50.0","51.0","52.0","53.0","54.0","55.0","56.0","57.0","58.0","59.0"
ACC,0.99751,0.99654,0.99575,0.99624,0.99745,0.99927,0.99842,0.99958,0.99976,0.998,0.99145,0.98975,0.99885,0.99958,0.99945,0.99776,0.99727,0.99879,0.99885,0.99757,0.99909,0.99806,0.99776,0.99824,0.99818,0.99945,0.99988,0.99757,0.99078,0.9946,0.99497,0.99539,0.998,0.99739,0.99836,0.99982,0.99885,0.9983,0.99836,0.99945,0.99594,0.99927,1.0,0.99715,0.99776,0.99921,0.9986,0.99697,0.99751,0.99897,0.99982,0.99976,0.99927,0.99945,0.9997,0.99915,0.99897,0.99964,1.0,1.0
AGF,0.96547,0.92727,0.93782,0.93934,0.95801,0.99448,0.96858,0.99516,0.99627,0.96338,0.83676,0.809,0.98027,0.99631,0.99111,0.96917,0.93913,0.97887,0.97578,0.96557,0.98881,0.97107,0.96928,0.98388,0.96093,0.98652,0.99926,0.96714,0.86944,0.93052,0.91193,0.93265,0.96856,0.96501,0.98685,0.99778,0.98062,0.98197,0.98233,0.99224,0.9319,0.99561,1.0,0.94651,0.97067,0.9919,0.98263,0.94399,0.95836,0.98237,0.99779,0.99853,0.98547,0.99111,0.99703,0.98588,0.98588,0.99334,1.0,1.0
AGM,0.98301,0.95828,0.96875,0.96817,0.97759,0.99858,0.98195,0.99792,0.99806,0.97967,0.91178,0.89824,0.9893,0.99881,0.99523,0.98495,0.96436,0.98843,0.98582,0.98294,0.9949,0.98523,0.985,0.99431,0.97714,0.99168,0.99991,0.98402,0.93555,0.96718,0.9525,0.96603,0.98349,0.98304,0.99615,0.99899,0.98948,0.9926,0.99265,0.9961,0.96364,0.99945,1.0,0.97012,0.98599,0.99679,0.99195,0.96894,0.97764,0.99039,0.99899,0.99982,0.99157,0.99523,0.99889,0.99236,0.99308,0.99624,1.0,1.0
AM,7,-29,8,-2,-4,10,-12,3,0,-9,-29,-23,-3,5,-1,7,-29,-4,-11,6,5,2,7,19,-18,-9,2,8,28,25,-13,8,-1,9,21,1,-3,14,13,1,-7,12,0,-15,9,7,7,-14,-5,-3,1,4,-6,-1,3,-2,3,-2,0,0
AUC,0.96824,0.92139,0.94202,0.94047,0.9576,0.99784,0.96524,0.99618,0.99628,0.96117,0.8426,0.82128,0.97946,0.998,0.99082,0.97185,0.93224,0.97778,0.9725,0.96804,0.99053,0.9721,0.97195,0.9902,0.95602,0.98364,0.99994,0.97017,0.8845,0.94006,0.91196,0.93711,0.96871,0.9684,0.99382,0.99812,0.97983,0.98667,0.9867,0.9926,0.93205,0.99963,1.0,0.94335,0.97393,0.99426,0.98504,0.94126,0.95763,0.98154,0.99813,0.99988,0.9836,0.99082,0.99805,0.98532,0.98696,0.99269,1.0,1.0
AUCI,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Very Good,Very Good,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Very Good,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent
AUPR,0.92627,0.89336,0.87383,0.88604,0.92313,0.97888,0.95215,0.98728,0.99267,0.93881,0.72957,0.67694,0.96478,0.98747,0.98367,0.93324,0.91616,0.96315,0.96502,0.92738,0.97286,0.94183,0.93348,0.95026,0.94449,0.98364,0.9964,0.92851,0.73876,0.84682,0.8465,0.86446,0.94011,0.92359,0.95416,0.99456,0.96542,0.95111,0.95272,0.98373,0.87721,0.97917,1.0,0.91319,0.93429,0.9769,0.95901,0.90734,0.92485,0.96884,0.99458,0.99286,0.97814,0.98367,0.99095,0.97456,0.96929,0.9891,1.0,1.0
BB,0.91459,0.84364,0.86121,0.88278,0.91636,0.9614,0.93091,0.98188,0.99267,0.92308,0.68864,0.64706,0.95941,0.97857,0.98188,0.92143,0.86496,0.95604,0.94526,0.91727,0.96403,0.93841,0.92171,0.91864,0.91241,0.96727,0.99281,0.91519,0.70297,0.81,0.82609,0.85211,0.93841,0.90877,0.91919,0.99275,0.96014,0.92759,0.9308,0.98195,0.86594,0.95833,1.0,0.88768,0.9193,0.96466,0.947,0.88364,0.91636,0.9635,0.99278,0.98571,0.96739,0.98188,0.98556,0.97101,0.96403,0.98551,1.0,1.0
BCD,0.00021,0.00088,0.00024,6e-05,0.00012,0.0003,0.00036,9e-05,0.0,0.00027,0.00088,0.0007,9e-05,0.00015,3e-05,0.00021,0.00088,0.00012,0.00033,0.00018,0.00015,6e-05,0.00021,0.00058,0.00055,0.00027,6e-05,0.00024,0.00085,0.00076,0.00039,0.00024,3e-05,0.00027,0.00064,3e-05,9e-05,0.00042,0.00039,3e-05,0.00021,0.00036,0.0,0.00045,0.00027,0.00021,0.00021,0.00042,0.00015,9e-05,3e-05,0.00012,0.00018,3e-05,9e-05,6e-05,9e-05,6e-05,0.0,0.0
BM,0.93648,0.84277,0.88404,0.88093,0.91519,0.99569,0.93048,0.99237,0.99255,0.92234,0.68519,0.64256,0.95892,0.99599,0.98164,0.9437,0.86447,0.95555,0.94501,0.93608,0.98107,0.94421,0.9439,0.9804,0.91204,0.96727,0.99988,0.94034,0.76899,0.88012,0.82393,0.87422,0.93742,0.9368,0.98765,0.99624,0.95965,0.97334,0.9734,0.9852,0.86409,0.99926,1.0,0.88669,0.94786,0.98851,0.97009,0.88253,0.91525,0.96307,0.99625,0.99975,0.96721,0.98164,0.9961,0.97064,0.97393,0.98538,1.0,1.0
CEN,0.07696,0.10894,0.12765,0.11314,0.08256,0.02388,0.05215,0.0158,0.00861,0.05432,0.1995,0.20587,0.04054,0.01367,0.0173,0.0564,0.06767,0.03836,0.0382,0.06898,0.03213,0.05664,0.06677,0.04762,0.06555,0.0165,0.00426,0.07275,0.20705,0.11422,0.12215,0.10603,0.06227,0.07463,0.04661,0.0072,0.04133,0.0605,0.05537,0.01944,0.11622,0.02271,0,0.09279,0.06727,0.02876,0.04488,0.08233,0.07882,0.0346,0.00718,0.00744,0.02597,0.01858,0.01075,0.0303,0.03629,0.01337,0,0
DOR,10197.48284,6242.4186,3237.67577,4062.85833,9337.83982,403552.18182,31191.57895,439263.9,1098363.0,16202.0,638.17311,405.39269,47887.27273,740074.0,219604.85,12659.2,12974.94932,44060.0625,69968.85,10560.0,86853.44,16450.0549,12707.48182,36555.64167,28137.15278,None,None,10918.46875,615.40968,2152.22862,2195.31429,2740.12465,15420.97426,9483.97059,61375.70833,2220770.0,48793.125,29626.59864,31109.85,220401.6,3484.01712,None,None,7999.54637,13171.60248,147429.1,36171.06667,6831.84375,9857.21739,61119.77143,2228737.5,None,160279.11111,219604.85,1106264.25,90477.91667,62030.51429,551106.0,None,None
